Date,America_Toronto_DST,America_New_York_DST
Mon Apr 01 00:00:00 EST 1918,FALSE,TRUE
Tue Apr 02 00:00:00 EST 1918,FALSE,TRUE
Wed Apr 03 00:00:00 EST 1918,FALSE,TRUE
Thu Apr 04 00:00:00 EST 1918,FALSE,TRUE
Fri Apr 05 00:00:00 EST 1918,FALSE,TRUE
Sat Apr 06 00:00:00 EST 1918,FALSE,TRUE
Sun Apr 07 00:00:00 EST 1918,FALSE,TRUE
Mon Apr 08 00:00:00 EST 1918,FALSE,TRUE
Tue Apr 09 00:00:00 EST 1918,FALSE,TRUE
Wed Apr 10 00:00:00 EST 1918,FALSE,TRUE
Thu Apr 11 00:00:00 EST 1918,FALSE,TRUE
Fri Apr 12 00:00:00 EST 1918,FALSE,TRUE
Sat Apr 13 00:00:00 EST 1918,FALSE,TRUE
Sun Apr 14 00:00:00 EST 1918,FALSE,TRUE
Mon Mar 29 01:00:00 EST 1920,FALSE,TRUE
Tue Mar 30 01:00:00 EST 1920,FALSE,TRUE
Wed Mar 31 01:00:00 EST 1920,FALSE,TRUE
Thu Apr 01 01:00:00 EST 1920,FALSE,TRUE
Fri Apr 02 01:00:00 EST 1920,FALSE,TRUE
Sat Apr 03 01:00:00 EST 1920,FALSE,TRUE
Sun Apr 04 01:00:00 EST 1920,FALSE,TRUE
Mon Apr 05 01:00:00 EST 1920,FALSE,TRUE
Tue Apr 06 01:00:00 EST 1920,FALSE,TRUE
Wed Apr 07 01:00:00 EST 1920,FALSE,TRUE
Thu Apr 08 01:00:00 EST 1920,FALSE,TRUE
Fri Apr 09 01:00:00 EST 1920,FALSE,TRUE
Sat Apr 10 01:00:00 EST 1920,FALSE,TRUE
Sun Apr 11 01:00:00 EST 1920,FALSE,TRUE
Mon Apr 12 01:00:00 EST 1920,FALSE,TRUE
Tue Apr 13 01:00:00 EST 1920,FALSE,TRUE
Wed Apr 14 01:00:00 EST 1920,FALSE,TRUE
Thu Apr 15 01:00:00 EST 1920,FALSE,TRUE
Fri Apr 16 01:00:00 EST 1920,FALSE,TRUE
Sat Apr 17 01:00:00 EST 1920,FALSE,TRUE
Sun Apr 18 01:00:00 EST 1920,FALSE,TRUE
Mon Apr 19 01:00:00 EST 1920,FALSE,TRUE
Tue Apr 20 01:00:00 EST 1920,FALSE,TRUE
Wed Apr 21 01:00:00 EST 1920,FALSE,TRUE
Thu Apr 22 01:00:00 EST 1920,FALSE,TRUE
Fri Apr 23 01:00:00 EST 1920,FALSE,TRUE
Sat Apr 24 01:00:00 EST 1920,FALSE,TRUE
Sun Apr 25 01:00:00 EST 1920,FALSE,TRUE
Mon Apr 26 01:00:00 EST 1920,FALSE,TRUE
Tue Apr 27 01:00:00 EST 1920,FALSE,TRUE
Wed Apr 28 01:00:00 EST 1920,FALSE,TRUE
Thu Apr 29 01:00:00 EST 1920,FALSE,TRUE
Fri Apr 30 01:00:00 EST 1920,FALSE,TRUE
Sat May 01 01:00:00 EST 1920,FALSE,TRUE
Sun May 02 01:00:00 EST 1920,FALSE,TRUE
Sun Sep 26 01:00:00 EST 1920,FALSE,TRUE
Mon Sep 27 01:00:00 EST 1920,FALSE,TRUE
Tue Sep 28 01:00:00 EST 1920,FALSE,TRUE
Wed Sep 29 01:00:00 EST 1920,FALSE,TRUE
Thu Sep 30 01:00:00 EST 1920,FALSE,TRUE
Fri Oct 01 01:00:00 EST 1920,FALSE,TRUE
Sat Oct 02 01:00:00 EST 1920,FALSE,TRUE
Sun Oct 03 01:00:00 EST 1920,FALSE,TRUE
Mon Oct 04 01:00:00 EST 1920,FALSE,TRUE
Tue Oct 05 01:00:00 EST 1920,FALSE,TRUE
Wed Oct 06 01:00:00 EST 1920,FALSE,TRUE
Thu Oct 07 01:00:00 EST 1920,FALSE,TRUE
Fri Oct 08 01:00:00 EST 1920,FALSE,TRUE
Sat Oct 09 01:00:00 EST 1920,FALSE,TRUE
Sun Oct 10 01:00:00 EST 1920,FALSE,TRUE
Mon Oct 11 01:00:00 EST 1920,FALSE,TRUE
Tue Oct 12 01:00:00 EST 1920,FALSE,TRUE
Wed Oct 13 01:00:00 EST 1920,FALSE,TRUE
Thu Oct 14 01:00:00 EST 1920,FALSE,TRUE
Fri Oct 15 01:00:00 EST 1920,FALSE,TRUE
Sat Oct 16 01:00:00 EST 1920,FALSE,TRUE
Sun Oct 17 01:00:00 EST 1920,FALSE,TRUE
Mon Oct 18 01:00:00 EST 1920,FALSE,TRUE
Tue Oct 19 01:00:00 EST 1920,FALSE,TRUE
Wed Oct 20 01:00:00 EST 1920,FALSE,TRUE
Thu Oct 21 01:00:00 EST 1920,FALSE,TRUE
Fri Oct 22 01:00:00 EST 1920,FALSE,TRUE
Sat Oct 23 01:00:00 EST 1920,FALSE,TRUE
Sun Oct 24 01:00:00 EST 1920,FALSE,TRUE
Mon Oct 25 01:00:00 EST 1920,FALSE,TRUE
Tue Oct 26 01:00:00 EST 1920,FALSE,TRUE
Wed Oct 27 01:00:00 EST 1920,FALSE,TRUE
Thu Oct 28 01:00:00 EST 1920,FALSE,TRUE
Fri Oct 29 01:00:00 EST 1920,FALSE,TRUE
Sat Oct 30 01:00:00 EST 1920,FALSE,TRUE
Mon Apr 25 01:00:00 EST 1921,FALSE,TRUE
Tue Apr 26 01:00:00 EST 1921,FALSE,TRUE
Wed Apr 27 01:00:00 EST 1921,FALSE,TRUE
Thu Apr 28 01:00:00 EST 1921,FALSE,TRUE
Fri Apr 29 01:00:00 EST 1921,FALSE,TRUE
Sat Apr 30 01:00:00 EST 1921,FALSE,TRUE
Sun May 01 01:00:00 EST 1921,FALSE,TRUE
Mon May 02 01:00:00 EST 1921,FALSE,TRUE
Tue May 03 01:00:00 EST 1921,FALSE,TRUE
Wed May 04 01:00:00 EST 1921,FALSE,TRUE
Thu May 05 01:00:00 EST 1921,FALSE,TRUE
Fri May 06 01:00:00 EST 1921,FALSE,TRUE
Sat May 07 01:00:00 EST 1921,FALSE,TRUE
Sun May 08 01:00:00 EST 1921,FALSE,TRUE
Mon May 09 01:00:00 EST 1921,FALSE,TRUE
Tue May 10 01:00:00 EST 1921,FALSE,TRUE
Wed May 11 01:00:00 EST 1921,FALSE,TRUE
Thu May 12 01:00:00 EST 1921,FALSE,TRUE
Fri May 13 01:00:00 EST 1921,FALSE,TRUE
Sat May 14 01:00:00 EST 1921,FALSE,TRUE
Sun May 15 01:00:00 EST 1921,FALSE,TRUE
Fri Sep 16 01:00:00 EST 1921,FALSE,TRUE
Sat Sep 17 01:00:00 EST 1921,FALSE,TRUE
Sun Sep 18 01:00:00 EST 1921,FALSE,TRUE
Mon Sep 19 01:00:00 EST 1921,FALSE,TRUE
Tue Sep 20 01:00:00 EST 1921,FALSE,TRUE
Wed Sep 21 01:00:00 EST 1921,FALSE,TRUE
Thu Sep 22 01:00:00 EST 1921,FALSE,TRUE
Fri Sep 23 01:00:00 EST 1921,FALSE,TRUE
Sat Sep 24 01:00:00 EST 1921,FALSE,TRUE
Mon May 01 01:00:00 EST 1922,FALSE,TRUE
Tue May 02 01:00:00 EST 1922,FALSE,TRUE
Wed May 03 01:00:00 EST 1922,FALSE,TRUE
Thu May 04 01:00:00 EST 1922,FALSE,TRUE
Fri May 05 01:00:00 EST 1922,FALSE,TRUE
Sat May 06 01:00:00 EST 1922,FALSE,TRUE
Sun May 07 01:00:00 EST 1922,FALSE,TRUE
Mon May 08 01:00:00 EST 1922,FALSE,TRUE
Tue May 09 01:00:00 EST 1922,FALSE,TRUE
Wed May 10 01:00:00 EST 1922,FALSE,TRUE
Thu May 11 01:00:00 EST 1922,FALSE,TRUE
Fri May 12 01:00:00 EST 1922,FALSE,TRUE
Sat May 13 01:00:00 EST 1922,FALSE,TRUE
Sun May 14 01:00:00 EST 1922,FALSE,TRUE
Mon Sep 18 01:00:00 EST 1922,FALSE,TRUE
Tue Sep 19 01:00:00 EST 1922,FALSE,TRUE
Wed Sep 20 01:00:00 EST 1922,FALSE,TRUE
Thu Sep 21 01:00:00 EST 1922,FALSE,TRUE
Fri Sep 22 01:00:00 EST 1922,FALSE,TRUE
Sat Sep 23 01:00:00 EST 1922,FALSE,TRUE
Mon Apr 30 01:00:00 EST 1923,FALSE,TRUE
Tue May 01 01:00:00 EST 1923,FALSE,TRUE
Wed May 02 01:00:00 EST 1923,FALSE,TRUE
Thu May 03 01:00:00 EST 1923,FALSE,TRUE
